Year,Category,Latitude,Longitude,Highest Wind Speed
1949,TS,20.2N,106.3W,45
1949,TS,20.2N,106.4W,45
1949,TS,20.2N,106.7W,45
1949,TS,20.3N,107.7W,45
1949,TS,20.4N,108.6W,45
1949,TS,20.5N,109.4W,45
1949,TS,20.6N,110.2W,45
1949,TS,14.1N,107.0W,45
1949,TS,14.6N,107.7W,45
1949,TS,15.0N,108.4W,45
1949,TS,15.4N,109.2W,45
1949,TS,15.7N,110.0W,45
1949,TS,16.0N,110.8W,45
1949,TS,16.3N,111.6W,45
1949,TS,16.7N,112.3W,45
1949,TS,17.1N,112.9W,45
1949,TS,17.5N,113.5W,45
1949,TS,18.0N,114.1W,45
1949,TS,18.4N,114.6W,45
1949,TS,18.9N,115.1W,45
1949,TS,19.4N,115.6W,45
1949,TS,19.9N,116.0W,45
1949,TS,20.4N,116.4W,45
1949,TS,21.0N,116.7W,45
1949,TS,21.5N,117.1W,45
1949,TS,22.0N,117.5W,45
1949,TS,22.5N,117.8W,45
1949,TS,23.1N,118.0W,45
1949,TS,23.9N,118.0W,45
1949,TS,24.7N,117.7W,45
1949,TS,25.4N,117.4W,45
1949,TS,26.0N,117.0W,45
1949,TS,17.3N,106.3W,45
1949,TS,17.6N,106.6W,45
1949,TS,17.9N,106.8W,45
1949,TS,18.4N,106.8W,45
1949,TS,18.8N,106.9W,45
1949,TS,18.9N,106.9W,45
1949,TS,19.0N,107.0W,45
1949,TS,19.0N,107.1W,45
1949,TS,19.1N,107.2W,45
1949,TS,19.6N,107.9W,45
1949,TS,20.2N,108.8W,45
1949,TS,20.7N,109.4W,45
1949,TS,21.2N,110.0W,45
1949,TS,22.0N,110.8W,45
1949,TS,22.9N,111.7W,45
1949,TS,23.8N,112.8W,45
1949,TS,24.8N,113.8W,45
1949,TS,25.5N,114.5W,45
1949,TS,26.2N,115.2W,45
1949,TS,27.6N,115.9W,45
1949,TS,28.6N,116.4W,45
1949,TS,28.4N,116.4W,45
1949,TS,28.2N,116.4W,45
1949,TS,28.1N,116.4W,45
1949,TS,28.0N,116.5W,45
1949,Category 1,19.3N,108.6W,75
1949,Category 1,20.2N,109.4W,75
1949,Category 1,21.2N,110.2W,75
1949,Category 1,21.8N,110.6W,75
1949,Category 1,22.5N,110.9W,75
1949,Category 1,23.2N,111.0W,75
1949,Category 1,23.9N,111.0W,75
1949,Category 1,24.3N,111.0W,75
1949,Category 1,24.5N,110.9W,75
1949,TS,15.4N,101.3W,45
1949,TS,15.8N,102.8W,45
1949,TS,16.5N,103.9W,45
1949,TS,17.7N,104.6W,45
1949,TS,18.7N,105.4W,45
1949,TS,19.0N,106.1W,45
1949,TS,19.3N,106.7W,45
1949,TS,19.7N,107.3W,45
1949,TS,20.1N,107.9W,45
1949,TD,16.1N,107.4W,25
1949,TS,17.0N,107.2W,45
1949,Category 1,17.9N,107.3W,75
1949,Category 1,18.6N,107.9W,75
1949,TS,18.8N,108.8W,45
1949,TS,18.2N,110.1W,45
1949,TD,16.7N,111.6W,25
1950,Category 1,14.1N,98.2W,75
1950,Category 1,14.2N,98.5W,75
1950,Category 1,14.4N,98.9W,75
1950,Category 1,14.8N,99.5W,75
1950,Category 1,15.2N,99.9W,75
1950,Category 1,15.4N,100.0W,75
1950,Category 1,15.6N,100.1W,75
1950,Category 1,15.9N,100.2W,75
1950,Category 1,16.1N,100.3W,75
1950,Category 1,16.1N,100.6W,75
1950,Category 1,16.2N,101.1W,75
1950,Category 1,16.4N,101.6W,75
1950,Category 1,16.6N,102.1W,75
1950,Category 1,16.8N,102.8W,75
1950,Category 1,17.0N,103.6W,75
1950,Category 1,17.4N,105.0W,75
1950,Category 1,18.1N,106.0W,75
1950,Category 1,19.0N,106.0W,75
1950,Category 1,20.0N,106.0W,75
1950,Category 1,20.8N,106.0W,75
1950,Category 1,21.5N,106.0W,75
1950,Category 1,18.4N,105.9W,75
1950,Category 1,19.0N,106.3W,75
1950,Category 1,19.5N,106.7W,75
1950,Category 1,20.2N,107.2W,75
1950,Category 1,20.7N,107.8W,75
1950,Category 1,21.0N,108.4W,75
1950,Category 1,21.1N,109.0W,75
1950,Category 1,21.2N,109.7W,75
1950,Category 1,21.4N,110.4W,75
1950,Category 1,21.8N,111.2W,75
1950,Category 1,22.3N,112.0W,75
1950,Category 1,22.8N,112.8W,75
1950,Category 1,23.3N,113.6W,75
1950,Category 1,16.1N,108.0W,75
1950,Category 1,16.4N,108.4W,75
1950,Category 1,16.7N,108.9W,75
1950,Category 1,17.1N,109.7W,75
1950,Category 1,17.5N,110.5W,75
1950,Category 1,17.8N,111.2W,75
1950,Category 1,18.0N,112.0W,75
1950,Category 1,18.3N,113.0W,75
1950,Category 1,18.6N,114.0W,75
1950,Category 1,18.7N,114.9W,75
1950,Category 1,18.6N,115.9W,75
1950,Category 1,18.4N,117.0W,75
1950,Category 1,18.1N,118.0W,75
1950,TD,14.5N,144.5W,25
1950,TD,14.9N,144.8W,25
1950,TD,15.2N,145.2W,25
1950,TD,15.5N,145.6W,25
1950,TD,15.7N,145.8W,25
1950,TS,15.9N,146.3W,45
1950,TS,16.3N,146.9W,45
1950,TS,16.6N,147.6W,45
1950,TS,16.8N,148.1W,45
1950,TS,17.5N,149.1W,45
1950,TS,18.3N,150.1W,45
1950,TS,19.3N,151.3W,45
1950,TS,20.1N,152.4W,45
1950,TS,20.7N,153.4W,45
1950,TS,21.4N,154.4W,45
1950,TS,22.3N,155.6W,45
1950,Category 1,23.0N,156.6W,75
1950,Category 1,23.7N,157.5W,75
1950,Category 1,24.3N,158.4W,75
1950,Category 1,24.7N,159.6W,75
1950,Category 1,24.7N,160.8W,75
1950,Category 1,24.5N,161.6W,75
1950,Category 1,24.0N,162.4W,75
1950,Category 1,23.6N,163.1W,75
1950,Category 1,23.3N,163.8W,75
1950,Category 1,22.8N,164.7W,75
1950,Category 1,22.6N,165.6W,75
1950,Category 1,22.5N,166.5W,75
1950,Category 1,22.5N,167.4W,75
1950,Category 1,22.6N,168.7W,75
1950,Category 1,22.7N,169.7W,75
1950,TS,23.2N,170.4W,45
1950,TS,23.6N,171.5W,45
1950,TS,24.1N,172.4W,45
1950,TS,24.7N,173.7W,45
1950,TS,25.3N,174.3W,45
1950,TS,26.0N,175.7W,45
1950,TS,26.7N,176.9W,45
1950,TD,27.4N,178.0W,25
1950,TS,17.5N,116.8W,45
1950,TS,17.7N,116.8W,45
1950,TD,18.0N,117.1W,25
1950,TD,18.4N,117.7W,25
1950,TD,18.8N,118.7W,25
1950,Category 1,17.3N,131.5W,75
1950,Category 1,17.7N,132.4W,75
1950,Category 1,17.9N,133.2W,75
1950,Category 1,17.9N,133.8W,75
1950,Category 1,18.0N,134.4W,75
1950,Category 1,18.1N,135.1W,75
1950,Category 1,18.3N,135.8W,75
1950,Category 1,18.5N,136.4W,75
1950,Category 1,18.6N,137.0W,75
1950,Category 1,18.7N,137.5W,75
1950,Category 1,18.8N,138.1W,75
1950,Category 1,18.9N,138.8W,75
1950,Category 1,19.0N,139.6W,75
1950,Category 1,19.1N,140.3W,75
1950,Category 1,19.3N,141.1W,75
1950,Category 1,19.5N,142.0W,75
1950,Category 1,19.7N,143.0W,75
1950,Category 1,14.0N,108.7W,75
1950,Category 1,14.7N,109.0W,75
1950,Category 1,15.2N,109.4W,75
1950,Category 1,15.4N,109.7W,75
1950,Category 1,15.6N,110.0W,75
1950,Category 1,15.9N,110.4W,75
